yaatt;id3v23;vorbiscomment
AlbArtist;TPE2;ALBUMARTIST
Album;TALB;ALBUM
Artist;TPE1;ARTIST
Title;TIT2;TITLE
DiscNum;TPOS;DISCNUMBER
TrackNum;TRCK;TRACKNUMBER
Year;TYER;DATE
Genre;TCON;GENRE
Comment;COMM;COMMENT
